"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"Citrate",16500000,7406902,19500000,8889429,29300000,12400000,10500000,2e+07,11100000,7772442,24400000,8372288,9725579,7138068,10300000,9120909,6688310,13400000,18600000,32900000,14200000,9147973,9267329,13900000,11200000,15500000,10700000,10800000,10800000,6419674,28800000,21400000,14700000,7183456,9762085,26400000,8478982,22400000,1.4e+07
"Gluconate",1.21e+08,1.52e+08,1.58e+08,1.51e+08,1.01e+08,1.93e+08,1.23e+08,1.37e+08,1.79e+08,1.51e+08,1.84e+08,1.16e+08,1.04e+08,1.16e+08,1.22e+08,1.51e+08,1.59e+08,1.3e+08,1.03e+08,91100000,1.45e+08,1.26e+08,1.17e+08,1.25e+08,79500000,85900000,98500000,1.06e+08,77700000,70700000,72200000,86800000,98400000,1.13e+08,1.07e+08,85400000,99600000,98100000,96500000
"Acetylcarnitine",640826.8,923832.2,272276.5,348320.2,695795.2,346867.5,1163115,649467.4,271272.4,157297.1,267577.8,206303.5,376615.5,401356.8,623609.6,340845.2,660982.4,568258.2,265782.4,302742,502569.1,1366985,497268.8,348569.9,816764.8,688814.6,662709.6,730872,809528.6,315486.9,419603,419577.9,384965.1,903760.1,419516,470348,677593.4,641638,554025.2
"Tryptophan",3110622,1731166,2779175,2807133,3451096,2554269,2680256,1714089,1463363,1217614,1486424,1713788,1581910,1448435,1754388,1935884,2093095,2109820,1376532,1778985,2689949,2492524,2686293,1619752,2922910,2065848,2138407,2664716,3107918,1190978,2702444,1809999,1887361,2646642,1714363,2376526,2126653,2469496,2907711
"Xanthurenate",94300.57,8960.553,184163.7,84344.01,119404.2,71493.2,2429.38,10680.18,127979.7,62439.39,155212.5,26015.2,50419.05,25981.12,105829.4,37095.98,56692.56,30150.84,33264.14,260773.4,134468.3,13926.1,8631.555,12386.66,19832.21,2461.252,2852.435,7741.876,3106.757,2678.18,10273.77,6466.542,22906.95,197204.9,56761.14,565748.2,88847.12,5622.319,337071.7
"indolelactate",219999.8,165676,149348.6,132820,217931.8,176996.2,292291.4,133408.9,71924.02,109205.3,67251.53,129548.2,61103.89,149588,139509.1,126290.2,187080.1,115201.4,96277.5,56452.95,180933,302131.2,123896.9,149792.8,305376.9,211476.1,301601.7,256308.4,279194,180166.8,284117.2,143751.6,217006,304203,232112.8,211626.9,294322.9,236762.6,167028.5
"Lipoic.Acid..R.",3154934,2654794,4104050,2954664,3486751,3352515,3734951,1489394,2590814,2299597,2630551,2197368,1983665,1714699,3602190,2902848,3348231,2146030,2597219,1479124,1548126,3770540,3999126,3334773,2927372,3551714,3315599,2281906,3376672,3046699,4757440,3300273,3776588,4183890,2942586,1731454,2152326,3354835,3999008
"Phenylpropionylglycine",748715.2,406541.8,610449.3,312647.4,729154.8,173816,368331,331590,169034.8,123892.5,209300.7,259338.5,616184.7,395150.8,512406.3,237153.5,254473.9,698407.6,410443.5,452714.2,804853.5,575367.4,378082.7,432409.9,478192.4,417900.7,329123,499835.5,545574.7,293168.3,548024.2,491284.7,433927.9,591081.1,398246.9,535652.8,332553,456553,495900.9
"Dihydrolipoate..R.",1145823,277574,954790.3,723567.9,1426240,289070.5,457423.6,204245.9,575025,380626.2,495419.7,1071027,608229.2,326115.8,187466.2,184711.4,140997.3,417957.6,411998.4,534330.2,690098.6,131245.5,237223.1,449346.9,341282.2,444046,370328.2,336057.2,291612.9,421535.9,487353,616867.8,884149.5,413897.5,461248.7,503946.8,485728,705587.9,673898.7
"Indoxyl.sulfate",1110314,1057037,868152.5,1006316,525305.1,889930,538190.5,544107.9,433532.1,462584.7,437399.1,995085.2,575922.5,375342.5,406475.4,628594.2,530649.1,1056698,649454.8,330361.9,1262607,561289.1,841028.8,299201.5,406448.8,656595.4,452913.3,764341.2,468076.2,721073.4,1339675,698857.5,350723.6,1468569,1201769,562502,658142.8,458245.8,452810.5
"X3.Hydroxykynurenine",121026.6,39708.73,170888.3,121081.5,123830.2,78742.96,114653.6,132408.5,74377.59,48881.39,90432.5,71679.72,93482.29,90178.84,68882.14,94052.6,149359.2,111133,47635.36,105783.5,115708.3,144924,96694.57,63211.11,93314.47,85817.22,72332.17,117930.5,99893.82,47410.66,122795.8,53462.97,71235.25,98691.03,58896.47,101886.6,82134.71,91925.34,96898.16
"Inosine.triphosphate",11300000,5002326,12700000,12700000,15400000,13900000,4444788,12400000,11700000,7218068,8878723,18900000,9601149,8641483,5915588,1.2e+07,12600000,9380596,3685701,5847976,5685762,1013916,797290.4,4368136,1109519,2099674,1351946,1379950,2060709,4559810,3635874,4165709,2001306,1129800,4781230,3143825,1459569,2966427,6128526
"KMVA",17400000,5699492,15700000,17700000,13900000,17500000,10200000,13300000,17600000,7507510,12400000,21700000,10400000,1.1e+07,1.1e+07,13500000,19600000,11300000,5746990,9373879,12200000,1836822,2248596,9881040,1237300,4589096,2482157,4198792,3823753,9153503,11400000,11700000,9748629,3601687,13100000,1.1e+07,2544561,12300000,16800000
"Xylulose.5.phosphate",5372912,9261448,2550302,3473079,2970118,3351630,18300000,2263747,3149816,1435984,2580988,3383257,1953324,1915038,3615266,2361689,3337084,1597082,686198.1,1331178,1403610,21900000,2.4e+07,11100000,16300000,15200000,2.4e+07,16400000,12500000,6312050,13900000,7683728,15300000,25800000,8937613,14900000,20100000,11100000,4653090
"NADPH",3.2e+07,61200000,19700000,19100000,9355049,43600000,53500000,54100000,5.9e+07,66400000,4.2e+07,17400000,23300000,50700000,47900000,66900000,57400000,53500000,41300000,57800000,61900000,54600000,38600000,28800000,33100000,32500000,49300000,34200000,27500000,18800000,37400000,32800000,32700000,4.6e+07,27100000,31100000,27700000,34100000,29600000
